IMG_1609,[0, 15, 20, 22, 170],[(67, 67, 70), (56, 45, 35), (116, 72, 48), (19, 19, 19), (149, 136, 121)]
IMG_1259,[42, 42, 42, 56, 56],[(18, 18, 16), (131, 131, 128), (181, 182, 179), (85, 86, 83), (47, 47, 45)]
IMG_1520,[15, 21, 24, 122, 136],[(169, 109, 73), (95, 113, 111), (130, 163, 172), (78, 72, 64), (230, 213, 196)]
IMG_1536,[13, 15, 15, 24, 49],[(56, 50, 42), (107, 78, 62), (28, 29, 23), (201, 171, 154), (152, 113, 94)]
IMG_1648,[0, 3, 4, 7, 14],[(87, 55, 55), (242, 220, 218), (131, 105, 102), (23, 13, 11), (206, 158, 134)]
IMG_1218,[161, 170, 170, 180, 191],[(113, 114, 118), (15, 13, 21), (164, 163, 165), (0, 0, 1), (61, 61, 72)]
IMG_1131,[0, 127, 141, 144, 160],[(10, 13, 15), (186, 193, 193), (116, 122, 125), (76, 73, 73), (32, 37, 54)]
IMG_1561,[4, 10, 16, 19, 20],[(144, 118, 93), (93, 65, 47), (21, 12, 11), (65, 38, 29), (121, 92, 67)]
IMG_1633,[0, 8, 21, 28],[(193, 177, 145), (86, 59, 52), (2, 1, 1), (84, 81, 78)]
IMG_1263,[151, 152, 155, 155, 155],[(157, 164, 174), (235, 238, 242), (61, 65, 73), (25, 27, 31), (107, 113, 124)]
IMG_1234,[134, 138, 147, 148, 148],[(206, 220, 234), (192, 211, 230), (31, 34, 35), (77, 110, 116), (215, 229, 242)]
IMG_1664,[27, 34, 44, 57, 127],[(190, 194, 183), (14, 13, 9), (73, 68, 59), (144, 145, 125), (247, 248, 248)]
IMG_1672,[1, 21, 25, 25, 154],[(121, 126, 135), (193, 177, 161), (48, 38, 23), (103, 87, 64), (211, 65, 60)]
IMG_1222,[8, 153, 159, 161, 170],[(48, 53, 74), (63, 111, 188), (114, 93, 88), (20, 21, 24), (148, 148, 149)]
IMG_1275,[14, 25, 25, 25, 32],[(161, 134, 94), (18, 12, 9), (57, 46, 30), (212, 199, 154), (99, 83, 59)]
IMG_1266,[155, 156, 156, 180, 201],[(195, 206, 230), (80, 77, 81), (204, 215, 237), (23, 22, 26), (184, 195, 219)]
IMG_1291,[12, 31, 93, 146, 146],[(23, 28, 24), (124, 119, 117), (67, 66, 63), (239, 244, 248), (172, 190, 205)]
IMG_1396,[12, 17, 226, 242, 244],[(105, 91, 85), (149, 133, 122), (193, 189, 190), (58, 51, 53), (23, 20, 22)]
